date,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,pair_return,window,pair_id
2012-01-03,22.544164657592773,25.068193435668945,1.0,-2.524028778076172,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-04,22.146320343017575,25.05147361755371,1.0,-2.9051532745361364,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-05,22.133695602416992,25.018083572387695,1.0,-2.884387969970703,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-06,22.10213279724121,24.76199722290039,1.0,-2.6598644256591797,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-09,21.792694091796875,25.023653030395508,1.0,-3.230958938598633,,0,,0,,0,0,rolling_ols,-0.0,ignored,ES__SO
2012-01-10,21.767427444458008,24.934581756591797,1.0,-3.167154312133789,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-11,21.6221866607666,25.084890365600582,1.0,-3.462703704833981,,0,,0,,0,0,rolling_ols,-0.0,ignored,ES__SO
2012-01-12,21.634822845458984,25.112720489501953,1.0,-3.4778976440429688,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-13,21.615877151489254,25.20179748535156,1.0,-3.5859203338623047,,0,,0,,0,0,rolling_ols,-0.0,ignored,ES__SO
2012-01-17,21.603240966796875,25.15725326538086,1.0,-3.5540122985839844,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-18,21.54641342163086,25.301998138427734,1.0,-3.755584716796875,,0,,0,,0,0,rolling_ols,-0.0,ignored,ES__SO
2012-01-19,21.173831939697266,25.04035186767578,1.0,-3.8665199279785156,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-20,21.697967529296875,25.21849250793457,1.0,-3.5205249786376953,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-23,21.74217414855957,25.257465362548828,1.0,-3.515291213989258,,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-24,21.817947387695312,24.99581718444824,1.0,-3.177869796752926,0.28179937556330154,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
2012-01-25,22.045289993286133,25.11829376220703,1.0,-3.0730037689208984,0.5327015627667461,0,,0,,0,0,rolling_ols,0.0,ignored,ES__SO
